x,y,v
95,55,-33
95,60,-33
95,65,-32
95,70,-30
95,75,-26
95,80,-22
95,85,-15
95,90,-10
95,95,-3
95,100,3
95,105,8
95,110,14
95,115,19
95,120,23
95,125,27
95,130,30
95,135,32
95,140,33
95,145,35
100,0,9
100,5,7
100,10,4
100,15,2
100,20,0
100,25,-3
100,30,-5
100,35,-7
100,40,-10
100,45,-10
100,50,-11
100,55,-11
100,60,-12
100,65,-10
100,70,-8
100,75,-5
100,80,-1
100,85,2
100,90,6
100,95,10
100,100,14
100,105,18
100,110,22
100,115,25
100,120,28
100,125,29
100,130,32
100,135,33
100,140,35
100,145,36
105,0,13
105,5,12
105,10,11
105,15,10
105,20,8
105,25,7
105,30,6
105,35,4
105,40,4
105,45,4
105,50,3
105,55,3
105,60,4
105,65,5
105,70,7
105,75,9
105,80,11
105,85,13
105,90,17
105,95,19
105,100,21
105,105,24
105,110,27
105,115,29
105,120,30
105,125,32
105,130,33
105,135,34
105,140,34
105,145,35
110,0,16
110,5,15
110,10,15
110,15,14
110,20,14
110,25,13
110,30,13
110,35,12
110,40,12
110,45,12
110,50,13
110,55,12
110,60,13
110,65,15
110,70,16
110,75,18
110,80,18
110,85,20
110,90,22
110,95,24
110,100,26
110,105,28
110,110,28
110,115,30
110,120,31
110,125,32
110,130,34
110,135,34
110,140,34
110,145,34
115,0,18
115,5,19
115,10,17
115,15,17
115,20,17
115,25,18
115,30,17
115,35,17
115,40,17
115,45,18
115,50,18
115,55,19
115,60,19
115,65,20
115,70,21
115,75,22
115,80,23
115,85,25
115,90,25
115,95,26
115,100,28
115,105,29
115,110,31
115,115,31
115,120,32
115,125,33
115,130,32
115,135,34
115,140,33
115,145,33
