x,y,v
95,115,-65
95,120,-66
95,125,-68
95,130,-69
95,135,-71
95,140,-71
95,145,-73
100,0,-77
100,5,-76
100,10,-77
100,15,-76
100,20,-76
100,25,-77
100,30,-76
100,35,-76
100,40,-75
100,45,-75
100,50,-74
100,55,-73
100,60,-73
100,65,-71
100,70,-70
100,75,-70
100,80,-70
100,85,-70
100,90,-70
100,95,-70
100,100,-69
100,105,-70
100,110,-71
100,115,-72
100,120,-71
100,125,-71
100,130,-73
100,135,-73
100,140,-74
100,145,-75
105,0,-108
105,5,-109
105,10,-110
105,15,-111
105,20,-111
105,25,-111
105,30,-110
105,35,-110
105,40,-107
105,45,-104
105,50,-103
105,55,-100
105,60,-97
105,65,-95
105,70,-92
105,75,-89
105,80,-86
105,85,-84
105,90,-83
105,95,-81
105,100,-80
105,105,-79
105,110,-78
105,115,-77
105,120,-77
105,125,-78
105,130,-77
105,135,-77
105,140,-76
105,145,-78
110,0,-137
110,5,-139
110,10,-140
110,15,-142
110,20,-142
110,25,-141
110,30,-140
110,35,-138
110,40,-135
110,45,-132
110,50,-127
110,55,-123
110,60,-118
110,65,-114
110,70,-110
110,75,-105
110,80,-101
110,85,-97
110,90,-94
110,95,-91
110,100,-89
110,105,-86
110,110,-85
110,115,-83
110,120,-82
110,125,-82
110,130,-80
110,135,-81
110,140,-79
110,145,-79
115,0,-160
115,5,-162
115,10,-165
115,15,-166
115,20,-166
115,25,-165
115,30,-164
115,35,-161
115,40,-156
115,45,-153
115,50,-147
115,55,-142
115,60,-136
115,65,-131
115,70,-125
115,75,-119
115,80,-113
115,85,-108
115,90,-103
115,95,-100
115,100,-97
115,105,-93
115,110,-91
115,115,-87
115,120,-87
115,125,-84
115,130,-84
115,135,-83
115,140,-82
115,145,-81
120,0,-179
120,5,-182
120,10,-184
120,15,-186
120,20,-185
120,25,-185
120,30,-183
120,35,-179
120,40,-175
120,45,-170
120,50,-164
120,55,-157
120,60,-150
120,65,-144
120,70,-137
120,75,-131
120,80,-123
120,85,-117
120,90,-112
120,95,-107
120,100,-102
120,105,-98
120,110,-95
120,115,-92
120,120,-91
120,125,-88
120,130,-86
120,135,-84
120,140,-83
120,145,-82
125,0,-191
125,5,-195
125,10,-199
125,15,-201
125,20,-201
125,25,-199
125,30,-197
125,35,-192
125,40,-188
125,45,-182
125,50,-175
125,55,-169
125,60,-161
125,65,-154
125,70,-145
125,75,-138
125,80,-131
125,85,-124
125,90,-119
125,95,-112
125,100,-108
125,105,-103
125,110,-99
125,115,-97
125,120,-93
125,125,-91
125,130,-89
125,135,-86
125,140,-86
125,145,-84
130,0,-198
130,5,-203
130,10,-206
130,15,-208
130,20,-207
130,25,-206
130,30,-204
130,35,-199
130,40,-195
130,45,-188
130,50,-181
130,55,-174
130,60,-166
130,65,-158
130,70,-150
130,75,-143
130,80,-135
130,85,-129
130,90,-122
130,95,-116
130,100,-110
130,105,-107
130,110,-102
130,115,-98
130,120,-96
130,125,-94
130,130,-90
130,135,-89
130,140,-87
130,145,-86
135,0,-200
135,5,-204
135,10,-208
135,15,-209
135,20,-208
135,25,-206
135,30,-204
135,35,-200
135,40,-195
135,45,-190
135,50,-182
135,55,-176
135,60,-167
135,65,-160
135,70,-152
135,75,-144
135,80,-136
135,85,-130
135,90,-124
135,95,-117
135,100,-112
135,105,-107
135,110,-103
135,115,-99
135,120,-96
135,125,-94
135,130,-91
135,135,-90
135,140,-88
135,145,-86
140,0,-197
140,5,-201
140,10,-204
140,15,-205
140,20,-205
140,25,-204
140,30,-201
140,35,-198
140,40,-193
140,45,-187
140,50,-180
140,55,-173
140,60,-166
140,65,-158
140,70,-150
140,75,-144
140,80,-136
140,85,-130
140,90,-123
140,95,-118
140,100,-113
140,105,-108
140,110,-104
140,115,-101
140,120,-97
140,125,-95
140,130,-92
140,135,-90
140,140,-88
140,145,-87
145,0,-192
145,5,-197
145,10,-200
145,15,-201
145,20,-202
145,25,-200
145,30,-197
145,35,-193
145,40,-189
145,45,-184
145,50,-177
145,55,-170
145,60,-163
145,65,-156
145,70,-150
145,75,-142
145,80,-136
145,85,-130
145,90,-123
145,95,-118
145,100,-113
145,105,-108
145,110,-104
145,115,-101
145,120,-98
145,125,-96
145,130,-93
145,135,-91
145,140,-89
145,145,-87
150,0,-186
150,5,-191
150,10,-192
150,15,-193
150,20,-193
150,25,-191
150,30,-189
150,35,-186
150,40,-181
150,45,-177
150,50,-171
150,55,-165
150,60,-159
150,65,-152
150,70,-146
150,75,-139
150,80,-133
150,85,-127
150,90,-122
150,95,-117
150,100,-113
150,105,-108
150,110,-105
150,115,-102
150,120,-99
150,125,-95
150,130,-93
150,135,-92
150,140,-90
150,145,-89
155,0,-178
155,5,-180
155,10,-183
155,15,-184
155,20,-183
155,25,-183
155,30,-180
155,35,-177
155,40,-173
155,45,-169
155,50,-163
155,55,-158
155,60,-152
155,65,-146
155,70,-141
155,75,-136
155,80,-129
155,85,-126
155,90,-121
155,95,-115
155,100,-111
155,105,-108
155,110,-103
155,115,-101
155,120,-98
155,125,-96
155,130,-93
155,135,-92
155,140,-91
155,145,-89
160,0,-166
160,5,-170
160,10,-171
160,15,-172
160,20,-172
160,25,-170
160,30,-168
160,35,-166
160,40,-162
160,45,-158
160,50,-154
160,55,-150
160,60,-145
160,65,-140
160,70,-135
160,75,-129
160,80,-125
160,85,-121
160,90,-116
160,95,-112
160,100,-108
160,105,-106
160,110,-102
160,115,-101
160,120,-98
160,125,-96
160,130,-94
160,135,-92
160,140,-91
160,145,-90
165,0,-157
165,5,-159
165,10,-160
165,15,-161
165,20,-161
165,25,-159
165,30,-158
165,35,-156
165,40,-153
165,45,-149
165,50,-146
165,55,-142
165,60,-138
165,65,-135
165,70,-130
165,75,-126
165,80,-121
165,85,-118
165,90,-113
165,95,-109
165,100,-107
165,105,-104
165,110,-101
165,115,-99
165,120,-97
165,125,-94
165,130,-92
165,135,-91
165,140,-90
165,145,-89
170,0,-157
170,5,-159
170,10,-160
170,15,-160
170,20,-160
170,25,-160
170,30,-158
170,35,-156
170,40,-153
170,45,-149
170,50,-145
170,55,-142
170,60,-138
170,65,-133
170,70,-129
170,75,-125
170,80,-121
170,85,-118
170,90,-114
170,95,-110
170,100,-107
170,105,-105
170,110,-101
170,115,-98
170,120,-96
170,125,-95
170,130,-92
170,135,-91
170,140,-89
170,145,-88
175,0,-156
175,5,-159
175,10,-160
175,15,-161
175,20,-160
175,25,-160
175,30,-158
175,35,-155
175,40,-154
175,45,-150
175,50,-146
175,55,-143
175,60,-138
175,65,-134
175,70,-130
175,75,-126
175,80,-122
175,85,-118
175,90,-113
175,95,-110
175,100,-106
175,105,-104
175,110,-101
175,115,-99
175,120,-96
175,125,-94
175,130,-93
175,135,-91
175,140,-89
175,145,-89
180,0,-157
180,5,-160
180,10,-162
180,15,-162
180,20,-162
180,25,-161
180,30,-159
180,35,-157
180,40,-153
180,45,-151
180,50,-147
180,55,-142
180,60,-138
180,65,-134
180,70,-129
180,75,-126
180,80,-121
180,85,-117
180,90,-114
180,95,-110
180,100,-107
180,105,-105
180,110,-102
180,115,-100
180,120,-97
180,125,-94
180,130,-93
180,135,-92
180,140,-90
180,145,-89
185,0,-156
185,5,-158
185,10,-159
185,15,-160
185,20,-160
185,25,-159
185,30,-158
185,35,-155
185,40,-153
185,45,-150
185,50,-145
185,55,-142
185,60,-138
185,65,-133
185,70,-129
185,75,-125
185,80,-121
185,85,-117
185,90,-114
185,95,-110
185,100,-107
185,105,-104
185,110,-101
185,115,-98
185,120,-97
185,125,-94
185,130,-93
185,135,-91
185,140,-90
185,145,-89
190,0,-156
190,5,-158
190,10,-159
190,15,-160
190,20,-160
190,25,-159
190,30,-157
190,35,-155
190,40,-153
190,45,-149
190,50,-145
190,55,-142
190,60,-137
190,65,-133
190,70,-129
190,75,-125
190,80,-120
190,85,-117
190,90,-113
190,95,-110
190,100,-107
190,105,-104
190,110,-102
190,115,-99
190,120,-97
190,125,-94
190,130,-92
190,135,-91
190,140,-90
190,145,-89
195,0,-157
195,5,-158
195,10,-159
195,15,-160
195,20,-160
195,25,-159
195,30,-157
195,35,-156
195,40,-152
195,45,-150
195,50,-146
195,55,-142
195,60,-137
195,65,-134
195,70,-130
195,75,-126
195,80,-122
195,85,-117
195,90,-113
195,95,-111
195,100,-108
195,105,-105
195,110,-101
195,115,-99
195,120,-97
195,125,-95
195,130,-93
195,135,-92
195,140,-90
195,145,-90
200,0,-156
200,5,-159
200,10,-161
200,15,-162
200,20,-162
200,25,-161
200,30,-158
200,35,-157
200,40,-154
200,45,-150
200,50,-146
200,55,-142
200,60,-139
200,65,-134
200,70,-129
200,75,-126
200,80,-121
200,85,-118
200,90,-114
200,95,-111
200,100,-107
200,105,-104
200,110,-101
200,115,-99
200,120,-97
200,125,-94
200,130,-92
200,135,-92
200,140,-90
200,145,-89
205,0,-155
205,5,-158
205,10,-160
205,15,-160
205,20,-160
205,25,-159
205,30,-158
205,35,-154
205,40,-152
205,45,-149
205,50,-145
205,55,-142
205,60,-137
205,65,-134
205,70,-129
205,75,-125
205,80,-120
205,85,-117
205,90,-113
205,95,-110
205,100,-107
205,105,-103
205,110,-100
205,115,-98
205,120,-96
205,125,-95
205,130,-93
205,135,-91
205,140,-90
205,145,-88
210,0,-156
210,5,-158
210,10,-160
210,15,-160
210,20,-160
210,25,-159
210,30,-156
210,35,-155
210,40,-152
210,45,-149
210,50,-146
210,55,-142
210,60,-138
210,65,-134
210,70,-128
210,75,-125
210,80,-121
210,85,-118
210,90,-114
210,95,-110
210,100,-106
210,105,-104
210,110,-101
210,115,-98
210,120,-97
210,125,-94
210,130,-93
210,135,-92
210,140,-90
210,145,-88
215,0,-155
215,5,-159
215,10,-159
215,15,-160
215,20,-159
215,25,-159
215,30,-157
215,35,-155
215,40,-153
215,45,-149
215,50,-145
215,55,-142
215,60,-139
215,65,-134
215,70,-129
215,75,-125
215,80,-122
215,85,-118
215,90,-114
215,95,-109
215,100,-106
215,105,-104
215,110,-101
215,115,-99
215,120,-98
215,125,-95
215,130,-92
215,135,-92
215,140,-89
215,145,-88
220,0,-156
220,5,-160
220,10,-160
220,15,-160
220,20,-162
220,25,-160
220,30,-158
220,35,-156
220,40,-154
220,45,-150
220,50,-146
220,55,-142
220,60,-138
220,65,-135
220,70,-130
220,75,-125
220,80,-121
220,85,-117
220,90,-113
220,95,-111
220,100,-107
220,105,-104
220,110,-101
220,115,-99
220,120,-96
220,125,-95
220,130,-93
220,135,-92
220,140,-90
220,145,-89
225,0,-155
225,5,-158
225,10,-159
225,15,-160
225,20,-159
225,25,-158
225,30,-157
225,35,-154
225,40,-152
225,45,-149
225,50,-146
225,55,-142
225,60,-138
225,65,-133
225,70,-129
225,75,-125
