x,y,v
92,80,-349
92,84,-355
92,88,-364
92,92,-377
92,96,-388
92,100,-377
92,104,-312
92,108,-237
92,112,-178
92,116,-133
92,120,-101
92,124,-76
92,128,-58
92,132,-45
92,136,-37
92,140,-31
92,144,-26
92,148,-23
96,0,-114
96,4,-131
96,8,-167
96,12,-197
96,16,-257
96,20,-292
96,24,-369
96,28,-385
96,32,-386
96,36,-378
96,40,-369
96,44,-361
96,48,-356
96,52,-352
96,56,-351
96,60,-350
96,64,-350
96,68,-351
96,72,-353
96,76,-358
96,80,-364
96,84,-373
96,88,-385
96,92,-387
96,96,-364
96,100,-300
96,104,-235
96,108,-182
96,112,-140
96,116,-110
96,120,-87
96,124,-69
96,128,-55
96,132,-46
96,136,-39
96,140,-34
96,144,-30
96,148,-27
100,0,-120
100,4,-152
100,8,-170
100,12,-206
100,16,-251
100,20,-280
100,24,-346
100,28,-365
100,32,-386
100,36,-388
100,40,-386
100,44,-382
100,48,-378
100,52,-375
100,56,-374
100,60,-374
100,64,-376
100,68,-379
100,72,-384
100,76,-388
100,80,-385
100,84,-365
100,88,-316
100,92,-265
100,96,-217
100,100,-174
100,104,-140
100,108,-113
100,112,-93
100,116,-76
100,120,-63
100,124,-53
100,128,-46
100,132,-41
100,136,-36
100,140,-33
100,144,-30
100,148,-28
104,0,-82
104,4,-119
104,8,-108
104,12,-134
104,16,-148
104,20,-153
104,24,-187
104,28,-185
104,32,-224
104,36,-234
104,40,-262
104,44,-284
104,48,-302
104,52,-319
104,56,-328
104,60,-335
104,64,-336
104,68,-329
104,72,-315
104,76,-293
104,80,-267
104,84,-238
104,88,-209
104,92,-181
104,96,-154
104,100,-129
104,104,-110
104,108,-94
104,112,-81
104,116,-69
104,120,-60
104,124,-52
104,128,-46
104,132,-42
104,136,-38
104,140,-35
104,144,-32
104,148,-30
108,0,-19
108,4,-61
108,8,-11
108,12,-19
108,16,7
108,20,30
108,24,32
108,28,54
108,32,46
108,36,50
108,40,36
108,44,24
108,48,9
108,52,-7
108,56,-28
108,60,-50
108,64,-72
108,68,-91
108,72,-108
108,76,-120
108,80,-129
108,84,-129
108,88,-126
108,92,-118
108,96,-109
108,100,-99
108,104,-89
108,108,-80
108,112,-71
108,116,-63
108,120,-57
108,124,-51
108,128,-47
108,132,-43
108,136,-39
108,140,-36
108,144,-34
108,148,-32
112,0,74
112,4,30
112,8,122
112,12,135
112,16,187
112,20,222
112,24,235
112,28,250
112,32,251
112,36,252
112,40,251
112,44,249
112,48,243
112,52,233
112,56,212
112,60,186
112,64,151
112,68,112
112,72,65
112,76,19
112,80,-19
112,84,-46
112,88,-63
112,92,-74
112,96,-77
112,100,-76
112,104,-73
112,108,-69
112,112,-64
112,116,-59
112,120,-54
112,124,-50
112,128,-46
112,132,-43
112,136,-40
112,140,-37
112,144,-35
112,148,-34
116,0,190
116,4,152
116,8,250
116,12,254
116,16,255
116,20,255
116,24,255
116,28,255
116,32,255
116,36,255
116,40,255
116,44,255
116,48,255
116,52,255
116,56,255
116,60,255
116,64,254
116,68,240
116,72,188
116,76,121
116,80,63
116,84,15
116,88,-19
116,92,-42
116,96,-55
116,100,-61
116,104,-62
116,108,-61
116,112,-59
116,116,-55
116,120,-52
116,124,-49
116,128,-45
116,132,-43
116,136,-40
116,140,-38
116,144,-36
116,148,-34
120,0,255
120,4,254
120,8,255
120,12,255
120,16,255
120,20,255
120,24,255
120,28,255
120,32,255
120,36,255
120,40,255
120,44,255
120,48,255
120,52,255
120,56,255
120,60,255
120,64,255
120,68,255
120,72,248
120,76,187
120,80,118
120,84,57
120,88,10
120,92,-22
120,96,-39
120,100,-49
120,104,-53
120,108,-55
120,112,-54
120,116,-52
120,120,-50
120,124,-47
120,128,-45
120,132,-42
120,136,-40
120,140,-38
120,144,-37
120,148,-35
124,0,255
124,4,255
124,8,255
124,12,255
124,16,255
124,20,255
124,24,255
124,28,255
124,32,255
124,36,255
124,40,255
124,44,255
124,48,255
124,52,255
124,56,254
124,60,255
124,64,255
124,68,255
124,72,255
124,76,223
124,80,148
124,84,79
124,88,25
124,92,-9
124,96,-30
124,100,-41
124,104,-47
124,108,-50
124,112,-50
124,116,-49
124,120,-48
124,124,-46
124,128,-44
124,132,-42
124,136,-40
124,140,-38
124,144,-37
124,148,-35
128,0,255
128,4,255
128,8,255
128,12,255
128,16,255
128,20,255
128,24,255
128,28,255
128,32,255
128,36,255
128,40,255
128,44,255
128,48,255
128,52,255
128,56,255
128,60,255
128,64,255
128,68,254
128,72,229
128,76,150
128,80,79
128,84,27
128,88,-6
128,92,-26
128,96,-37
128,100,-44
128,104,-47
128,108,-47
128,112,-47
128,116,-46
128,120,-44
128,124,-43
128,128,-41
128,132,-39
128,136,-38
128,140,-37
128,144,-35
128,148,-34
132,0,255
132,4,255
132,8,255
132,12,255
132,16,255
132,20,255
132,24,255
132,28,255
132,32,255
132,36,255
132,40,255
132,44,255
132,48,255
132,52,255
132,56,255
132,60,255
132,64,255
132,68,212
132,72,132
132,76,65
132,80,20
132,84,-8
132,88,-25
132,92,-36
132,96,-42
132,100,-45
132,104,-45
132,108,-45
132,112,-44
132,116,-43
132,120,-42
132,124,-40
132,128,-39
132,132,-38
132,136,-36
132,140,-35
132,144,-34
132,148,-33
136,0,255
136,4,255
136,8,255
136,12,255
136,16,255
136,20,255
136,24,255
136,28,255
136,32,255
136,36,255
136,40,255
136,44,255
136,48,255
136,52,255
136,56,255
136,60,247
136,64,173
136,68,100
136,72,44
136,76,9
136,80,-14
136,84,-28
136,88,-36
136,92,-41
136,96,-43
136,100,-44
136,104,-43
136,108,-43
136,112,-42
136,116,-40
136,120,-39
136,124,-38
136,128,-37
136,132,-36
136,136,-35
136,140,-34
136,144,-33
136,148,-32
140,0,255
140,4,255
140,8,255
140,12,255
140,16,255
140,20,255
140,24,255
140,28,255
140,32,255
140,36,255
140,40,255
140,44,255
140,48,255
140,52,255
140,56,255
140,60,204
140,64,125
140,68,64
140,72,22
140,76,-4
140,80,-20
140,84,-30
140,88,-37
140,92,-40
140,96,-42
140,100,-42
140,104,-42
140,108,-41
140,112,-40
140,116,-39
140,120,-38
140,124,-37
140,128,-36
140,132,-35
140,136,-34
140,140,-34
140,144,-33
140,148,-32
144,0,255
144,4,255
144,8,255
144,12,255
144,16,255
144,20,255
144,24,255
144,28,255
144,32,255
144,36,255
144,40,255
144,44,255
144,48,255
144,52,210
144,56,132
144,60,71
144,64,28
144,68,1
144,72,-16
144,76,-27
144,80,-34
144,84,-38
144,88,-40
144,92,-41
144,96,-41
144,100,-41
144,104,-40
144,108,-39
144,112,-39
144,116,-37
144,120,-36
144,124,-36
144,128,-35
144,132,-34
144,136,-33
144,140,-32
144,144,-32
144,148,-31
148,0,255
148,4,255
148,8,255
148,12,255
148,16,255
148,20,255
148,24,255
148,28,255
148,32,255
148,36,255
148,40,255
148,44,225
148,48,142
148,52,79
148,56,33
148,60,5
148,64,-13
148,68,-25
148,72,-32
148,76,-37
148,80,-39
148,84,-40
148,88,-41
148,92,-41
148,96,-40
148,100,-39
148,104,-39
148,108,-38
148,112,-37
148,116,-36
148,120,-35
148,124,-34
148,128,-33
148,132,-33
148,136,-32
148,140,-32
148,144,-31
148,148,-30
152,0,255
152,4,255
152,8,255
152,12,255
152,16,255
152,20,255
152,24,255
152,28,255
152,32,254
152,36,255
152,40,235
152,44,124
152,48,7
152,52,-74
152,56,-95
152,60,-104
152,64,-113
152,68,-113
152,72,-104
152,76,-101
152,80,-102
152,84,-103
152,88,-102
152,92,-102
152,96,-102
152,100,-102
152,104,-101
152,108,-101
152,112,-101
152,116,-100
152,120,-100
152,124,-100
152,128,-99
152,132,-97
152,136,-93
152,140,-93
152,144,-93
152,148,-92
156,0,-51
156,4,-51
156,8,-56
156,12,-65
156,16,-90
156,20,-98
156,24,-54
156,28,-43
156,32,-69
156,36,-19
156,40,-75
156,44,-91
156,48,-53
156,52,-65
156,56,-64
156,60,-60
156,64,-56
156,68,-59
156,72,-60
156,76,-59
156,80,-53
156,84,-53
156,88,-52
156,92,-47
156,96,-36
156,100,-19
156,104,-6
156,108,2
156,112,5
156,116,4
156,120,3
156,124,3
156,128,1
156,132,2
156,136,3
156,140,1
156,144,1
156,148,-4
160,0,-9
160,4,-8
160,8,-11
160,12,-14
160,16,-16
160,20,-16
160,24,-17
160,28,-17
160,32,-18
160,36,-19
160,40,-21
160,44,-21
160,48,-22
160,52,-23
160,56,-24
160,60,-25
160,64,-25
160,68,-26
160,72,-26
160,76,-26
160,80,-27
160,84,-27
160,88,-28
160,92,-28
160,96,-28
160,100,-28
160,104,-29
160,108,-29
160,112,-30
160,116,-30
160,120,-29
160,124,-30
160,128,-30
160,132,-30
160,136,-30
160,140,-30
160,144,-30
160,148,-30
164,0,-27
164,4,-27
164,8,-26
164,12,-26
164,16,-26
164,20,-26
164,24,-29
164,28,-31
164,32,-33
164,36,-35
164,40,-36
164,44,-36
164,48,-36
164,52,-36
164,56,-37
164,60,-37
164,64,-38
164,68,-39
164,72,-39
164,76,-39
164,80,-39
164,84,-39
164,88,-39
164,92,-40
164,96,-40
164,100,-40
164,104,-40
